index,time,conversation
1,00:55,Oh what do you mean
2,00:55,Meeting ID no I don't have that
3,00:55,discord
4,00:55,Oh yeah I think I got it
5,00:55,Is it your uncle your uncle
6,00:55,Okay oh there we go Okay I think we'll stop here
7,00:55,alright
8,00:55,Can you hear me Hello
9,00:55,Your MIC your MIC
10,01:35,i'm sorry i'm sorry
11,01:35,yeah
12,01:38,All right um I think we're going to do this
13,01:43,yeah
14,01:44,So how are you how was your day
15,01:47,Good good good so far can complain and yours
16,01:52,yeah pretty good
17,01:54,All right okay
18,01:54,So first of all like you know like I said i'm going to say my name and mention all those different thing obese interest and all that okay
19,01:54,Yes and like right when I finish you will do you will do the same and when you finish i'm going to talk about the instructions right
20,02:18,Okay got it
21,02:21,My name is Mubarak occur moon my obs is to cook and workout my interest is sport gaming my I major in computer science i'm doing my master I know
22,02:21,The class i'm taking our aim for like artificial intelligence computer network compiler design graph theory right now i'm not working and we are in 2021 what I like is to eat and have fun what I dislike it is to be indoor
23,02:21,My favorite food is Mexican food spicy
24,02:21,pastime is to play video games
25,02:21,list of activity I like to do are to go for a walk or watch movies or sit in the sun my abbott to eat healthy foods and clean the Max cleaning cleaning the mess and be respectful
26,02:21,And my bucket list is to go to Bali and to explore the cave my routine is to wake up workout meditation and black tea
27,02:21,My exercise are squats push ups jumping Jacks
28,02:21,My goal is to be a full time full stack developer and open my own gym
29,02:21,wishes is to help others and my dream is to be an expert at something all right your turn
30,04:04,it's interesting yeah
31,04:05,yeah and you also need to send some emotion you know feel free to have emotion when you like oh wow you know
32,04:14,yeah
33,04:16,yeah Okay you can go
34,04:17,Oh yeah my name is guided learning and doing my masters of i'm doing
35,04:17,i'm doing my masters in computer science major
36,04:17,I have completed computer architecture and computer algorithms in the last semester and now i'm going through the courses like core fundamentals in a data science and programming languages my likes or
37,04:17,or watching TV going out hanging out with friends and most important is highlight to sleep more yeah
38,04:17,dislike Sir I don't like if something is very messy but is not clean and my favorite habits are like gardening allowed to garden allowed to plant
39,04:17,Growth plans and my favorite pastime is my gardening only and sleeping also and going out hanging out
40,04:17,Okay again shopping all these are my favorite pastimes after this I wake up cook for myself and my family and we try to go out and spend some family time di D and my bucket list is to travel I love traveling I want to explore many places like Hawaii
41,04:17,Parties
42,04:17,That are all in paint bucket
43,04:17,Listen 30 billion next few years so my daily routine is pretty simple I get up I do my prayers I cook for my family doesn't have some family time I can I study and that's it simple rotten and coming to exercise I do a I don't do exercise but I do some yoga and my goals are to
44,04:17,I want to pursue my I want to continue my studies after my master's also at this point i'm not
45,04:17,Very much sure to like what
46,04:17,area i'm going to choose but i'm sure that i'm going to continue my studies and coming to my dreams I want to make a thesis paper that was my dream so yeah I wish my dreams come true that's it
47,06:38,yeah it's well alright so
48,06:38,we're going to play they were going to play the game
49,06:38,called
50,06:38,I forgot the name
51,06:55,Chris
52,06:56,yeah dot dot yeah that sandbox
53,06:56,game so and the instructions are very simple so the player take turns adding a line between two doubles the player complete the four side of the box her parents one point and takes another turn
54,06:56,The game hands when no more line can be place the winner is the player
55,06:56,The winner is the player with the most points
56,07:34,Oh
57,07:35,All right now we're going to start the game and
58,07:35,What i'm going to do is i'm going to
59,07:35,share my screen
60,07:44,mm hmm
61,07:46,And we're going to store it
62,07:52,copy
63,07:58,chip chip chip chip chip
64,08:12,Can you send a link to zoom chat
65,08:16,Through zoom oh sorry my bad it is robbing Peter i'm in practical like better all right
66,08:16,Let me see if I can see that something again
67,08:16,All right
68,08:16,Okay let's play
69,08:16,it's your turn
70,09:03,Oh it's my done
71,09:05,yeah it's your turn to say okay it's my turn now all right
72,09:05,So so what so what would be what would be your technique to win this game
73,09:17,I just want to follow you or defend your not finishing your boxes
74,09:21,Oh that's pretty neat
75,09:21,Okay
76,09:21,All right
77,09:21,I was playing with the computer earlier but the computer is too small
78,09:41,So the computer one
79,09:43,yeah all the time
80,09:45,Oh
81,09:56,So it's my
82,09:56,yep
83,10:07,Oh it's my turn
84,10:08,yeah
85,10:12,yeah
86,10:12,yeah that was pretty sleek
87,10:32,running out of time
88,10:33,Oh oh
89,10:35,yeah
90,10:40,Oh really
91,10:41,yeah
92,10:42,I got another one
93,10:42,yeah yeah i'm doing my score
94,10:42,And right now i'm winning again look
95,10:56,It doesn't matter which one
96,10:56,Which one you shake yeah
97,10:56,i'm not checking properly yeah
98,11:05,yeah
99,11:08,One and
100,11:08,I think it's your
101,11:14,yep again
102,11:16,Let me shake it
103,11:22,Oh that's
104,11:22,Oh there we go
105,11:25,yeah yeah
106,11:25,Yes
107,11:33,Okay I can play over there
108,11:40,yeah
109,11:44,Yes
110,11:46,Oh you're not so here you will
111,11:55,grow
112,11:55,So
113,12:11,You can create another box like trying to make it somewhere else
114,12:15,Okay
115,12:17,You don't have to be like clothes you know
116,12:20,yeah cartoon
117,12:24,my turn I have another one
118,12:27,Oh
119,12:55,I wasn't you're looking at you
120,12:55,Oh she's
121,12:55,You have another one look look carefully you had
122,12:55,You got another point
123,13:05,Thank you
124,13:06,yeah
125,13:07,I just did now
126,13:17,This
127,13:17,was your turn yeah
128,13:33,well
129,13:34,You run out of time
130,13:34,Okay yeah it's almost done will like we need to play until like we can
131,13:34,yeah we have like a big green that's why it's taking forever
132,13:34,yeah I wish we have the tree by a tree
133,14:03,yeah I wish
134,14:23,Okay
135,14:23,yeah
136,14:25,again
137,14:25,yeah
138,14:25,i'm super smooth on
139,14:35,This
140,14:36,Oh
141,14:40,Okay that's good
142,14:40,Good
143,14:43,Okay
144,14:46,Now you you have my trick now
145,14:46,it's your turn it's your turn
146,14:46,timeout yeah
147,14:46,All right
148,14:46,Okay
149,14:46,I think this one I got it
150,14:46,I got it I got it I got it I got it
151,15:13,done
152,15:14,My turn all right
153,15:14,whoa whoa okay
154,15:14,yeah yeah
155,15:43,I just follow your trick
156,15:45,Okay okay okay okay
157,15:45,yeah at the end is very difficult
158,15:53,Am I done
159,15:53,Okay
160,16:15,whoa
161,16:15,that's nice yeah
162,16:15,yeah it's better to play play for somebody to win
163,16:15,Because we want to finish the song quick
164,16:33,My
165,16:35,it's my
166,16:39,Okay my done right
167,16:47,yeah
168,16:57,And then
169,16:57,There we go alright so that was the first round now let's let's start in not around
170,16:57,yeah sure but this time around like we need to since you went we need to like we need to since both of us know now we need to be a little bit like more
171,17:19,yeah
172,17:22,All right yeah I
173,17:22,need to send you that oh no
174,17:26,I think I didn't report it
175,17:28,yeah you're already in
176,17:30,So it's my
177,17:30,yeah
178,17:33,My turn oh
179,17:33,I did the first the first round you were like the newbies and me I was desperate
180,17:43,So the second round we were like experience right
181,17:46,yeah we both
182,17:50,Okay
183,18:11,yeah
184,18:19,Thank you
185,18:19,that's what I like
186,18:19,Okay I think I have another point
187,18:19,You see when I have that this plus
188,18:19,For sure I will make it
189,18:32,Oh you're falling that pattern
190,18:35,yeah
191,18:37,Time yeah
192,18:37,Oh
193,18:43,Okay
194,18:43,Your turn okay
195,18:43,You play
196,19:09,yeah
197,19:32,Moving quick
198,20:31,Okay
199,20:33,check them out careful
