,Input,Type,avg_score,entailment_score,time_taken
0,Hello,Full Dataset,21.80144986,0.974169552,361.8178439
1,Hello,Random search with 500 iterations,22.472,0.958941221,36.03309393
2,Hello,Full Dataset with Threshold at 50,21.80144986,0.974169552,361.3583484
0,How are you?,Full Dataset,6.820579944,0.984369755,404.1291888
1,How are you?,Random search with 500 iterations,7.044,0.984369755,40.09566951
2,How are you?,Full Dataset with Threshold at 50,6.820579944,0.984369755,419.6110592
0,Are you new to this game?,Full Dataset,4.316753927,0.910565138,435.8228343
1,Are you new to this game?,Random search with 500 iterations,4.546,0.728298903,46.23396015
2,Are you new to this game?,Full Dataset with Threshold at 50,4.316753927,0.910565138,429.3171437
3,That was a good move,Full Dataset,15.1037052,0.992605925,407.368871
4,That was a good move,Random search with 500 iterations,16.444,0.95618856,40.67219853
5,That was a good move,Full Dataset with Threshold at 50,15.1037052,0.992605925,411.9176359
6,Keep going,Full Dataset,10.39911398,0.992605925,391.0519769
7,Keep going,Random search with 500 iterations,10.884,0.71875906,40.23707557
8,Keep going,Full Dataset with Threshold at 50,10.39911398,0.988898098,385.2901387
9,Nice play,Full Dataset,17.64579138,0.988898098,377.0489793
10,Nice play,Random search with 500 iterations,20.084,0.95456475,37.28397632
11,Nice play,Full Dataset with Threshold at 50,17.64579138,0.95456475,373.1755557
12,You rock,Full Dataset,18.15424889,0.95456475,377.0944557
13,You rock,Random search with 500 iterations,17.264,0.790364504,37.67951179
14,You rock,Full Dataset with Threshold at 50,18.15424889,0.951798558,423.6624308
0,This game sucks,Full Dataset,5.671365284,0.930516779,464.0635734
1,This game sucks,Random search with 500 iterations,5.788,0.731729925,53.36312413
2,This game sucks,Full Dataset with Threshold at 50,5.671365284,0.930516779,503.2564466
0,I suck at this game,Full Dataset,8.468183649,0.982443452,536.2188888
1,I suck at this game,Random search with 500 iterations,9.362,0.982443452,53.49167514
2,I suck at this game,Full Dataset with Threshold at 50,8.468183649,0.982443452,547.5018764
0,What do I do?,Full Dataset,6.466371325,0.982443452,547.069262
1,What do I do?,Random search with 500 iterations,6.428,0.796376109,54.00926971
2,What do I do?,Full Dataset with Threshold at 50,6.466371325,0.911482036,521.4780865
0,Hello there,Full Dataset,23.23942811,0.978730738,481.8893938
1,Hello there,Random search with 500 iterations,25.668,0.978730738,50.4647572
2,Hello there,Full Dataset with Threshold at 50,23.23942811,0.978730738,499.7277722
0,I am going to lose,Full Dataset,3.944019331,0.978730738,542.3748443
1,I am going to lose,Random search with 500 iterations,3.708,0.936882913,53.20249152
2,I am going to lose,Full Dataset with Threshold at 50,3.944019331,0.959268332,556.287236
0,Where do you live?,Full Dataset,6.743656867,0.959268332,483.9567509
1,Where do you live?,Random search with 500 iterations,6.712,0.829859138,47.16134882
2,Where do you live?,Full Dataset with Threshold at 50,6.743656867,0.829859138,435.3784449
0,That is bold,Full Dataset,14.08336689,0.930622995,508.5678601
1,That is bold,Random search with 500 iterations,14.294,0.776956916,53.83707047
2,That is bold,Full Dataset with Threshold at 50,14.08336689,0.930622995,540.4217381
0,Nice to meet you,Full Dataset,21.03664921,0.983976483,519.5515535
1,Nice to meet you,Random search with 500 iterations,22.86,0.8887977,54.16216803
2,Nice to meet you,Full Dataset with Threshold at 50,21.03664921,0.983976483,479.6326482
0,Cheers,Full Dataset,21.36709625,0.983976483,402.6952958
1,Cheers,Random search with 500 iterations,21.176,0.911156535,41.11972928
2,Cheers,Full Dataset with Threshold at 50,21.36709625,0.93920511,388.617377
0,This game is the best,Full Dataset,7.559001208,0.967917502,414.8710682
1,This game is the best,Random search with 500 iterations,7.514,0.967360616,41.70715308
2,This game is the best,Full Dataset with Threshold at 50,7.559001208,0.967917502,430.4891222
0,Sorry for that,Full Dataset,3.059605316,0.978162944,420.8675561
1,Sorry for that,Random search with 500 iterations,2.982,0.95289886,42.99321342
2,Sorry for that,Full Dataset with Threshold at 50,3.059605316,0.978162944,415.6258581
0,Okay,Full Dataset,25.14015304,0.978162944,408.686183
